amusing; entertaining
anxious; nervous 
polite; nice
reliable; dependable
affected by; changed by
impressed with; amazed by
accent; pronunciation
comment; remark
complaint; objection
excuse; explanation
interrupt; discontinue
break down; malfunction
break up; separate
cave; hollow
coast; seaside
flood; overflow
hill; high ground
sunrise; dawn
valley; canyon
wildlife; fauna
cliff; scarp
fog; mist
border; frontier
currency; money
achieve; accomplish


