entertaining; amusing
nervous; anxious
nice; polite
dependable; reliable
changed by; affected by
amazed by; impressed with
pronunciation; accent
remark; comment
objection; complaint
explanation; excuse
discontinue; interrupt
malfunction; break down
separate; break up
hollow; cave
seaside; coast
overflow; flood
high ground; hill
dawn; sunrise
canyon; valley
fauna; wildlife
scarp; cliff
mist; fog
frontier; border
money; currency
accomplish; achieve


